Latitude,Longitude
38.39495692,-110.78690302
38.39495744,-110.78690314
38.39495751,-110.78690347
38.39495807,-110.78690481
38.39495891,-110.78690575
38.39495984,-110.78690524
38.39496061,-110.7869048
38.39496041,-110.78690301
38.39496076,-110.78690135
38.39496025,-110.78689965
38.39495929,-110.78689809
38.39495894,-110.78689757
38.39495717,-110.78689771
38.39495652,-110.78689818
38.39495577,-110.78689838
38.39495525,-110.7868986
38.3949565,-110.78689915
38.39495722,-110.78690121
38.39495557,-110.78690014
38.39495423,-110.78689839
38.39495452,-110.78689881
38.3949544,-110.78690007
38.39495409,-110.78690222
38.39495422,-110.7869044
38.39495625,-110.78691019
38.39495827,-110.78691454
38.39495974,-110.7869169
38.39496045,-110.78691701
38.3949621,-110.78691695
38.39496405,-110.78691673
38.39496442,-110.78691705
38.39496412,-110.78691752
38.39496563,-110.78691801
38.39496488,-110.78691938
38.39496543,-110.78692077
38.39496579,-110.78692065
38.39496453,-110.78692066
38.39496212,-110.7869197
38.39496059,-110.78691838
38.39496037,-110.78691322
38.39495854,-110.78691036
38.39495661,-110.78690497
38.39495583,-110.78690105
38.39495486,-110.78689734
38.39495436,-110.78689407
38.39495363,-110.78689389
38.3949529,-110.78689405
38.39495342,-110.7868941
38.39495415,-110.78689425
38.39495646,-110.78689161
38.39495747,-110.78688996
38.39495686,-110.7868886
38.3949565,-110.78688742
38.39495615,-110.78688689
38.39495619,-110.78688751
38.39495612,-110.78688796
38.39495495,-110.78688834
38.39495403,-110.78688978
38.39495379,-110.78688971
38.39495441,-110.78688875
38.39495644,-110.78688866
38.39495746,-110.78688838
38.39495697,-110.78688901
38.39495551,-110.78689252
38.39495531,-110.7868987
38.39495487,-110.78690188
38.39495657,-110.78690042
38.394957,-110.78689923
38.39495021,-110.78689766
38.394946,-110.78689817
38.39494356,-110.78689812
38.39494191,-110.78689721
38.39494073,-110.78689563
38.39494059,-110.78689308
38.39494105,-110.78689162
38.3949416,-110.78688992
38.39494278,-110.78688837
38.39494258,-110.78688612
38.394943,-110.78688375
38.39494221,-110.78688135
38.39494071,-110.7868797
38.39494361,-110.78688787
38.39494674,-110.78689449
38.39494901,-110.78689702
38.39494982,-110.78690021
38.39494979,-110.78690241
38.39494978,-110.7869037
38.39495022,-110.78690543
38.39495163,-110.78690993
38.39495221,-110.78691247
38.39495316,-110.78691142
38.39495428,-110.78690995
38.39495473,-110.78690692
38.39495354,-110.78690332
38.39495246,-110.78690125
38.39495252,-110.78690044
38.39495241,-110.78689918
38.39523396,-110.78549225
38.39523359,-110.78548649
38.39523544,-110.78543239
38.39522151,-110.78542785
38.39521395,-110.78542277
38.39521093,-110.78541621
38.39521083,-110.785404
38.39521241,-110.78539544
38.39521311,-110.78539021
38.39521169,-110.78538502
38.39520889,-110.78538025
38.39520557,-110.78537319
38.39520221,-110.78536324
38.39519951,-110.78535538
38.39519852,-110.78535286
38.39519844,-110.78535472
38.39519843,-110.78535653
38.3951989,-110.78535817
38.3951989,-110.78535904
38.39519847,-110.78535936
38.39519787,-110.78536027
38.39519793,-110.78536072
38.39519846,-110.78536039
38.39519974,-110.78535955
38.39520186,-110.78535806
38.39520196,-110.78535468
38.39520096,-110.78535219
38.39519711,-110.78534631
38.39519014,-110.78533772
38.39518393,-110.78533068
38.39517641,-110.78532462
38.39516682,-110.78532034
38.39515579,-110.78531924
38.39514702,-110.7853183
38.39514134,-110.78531612
38.39513638,-110.78531199
38.39512758,-110.7853082
38.39511628,-110.7853083
38.39510655,-110.78531138
38.39510352,-110.78531443
38.39510426,-110.78531554
